date,scraped_at,product_id,name,brand,price_cents,in_stock,url,status
2026-01-09,2026-01-09T17:52:05,936045,Bose QuietComfort Ultra Headphones Zwart,Bose,29900,True,https://www.coolblue.nl/product/936045/bose-quietcomfort-ultra-headphones-zwart.html,ok
2026-01-09,2026-01-09T17:52:09,962722,Sony WH-1000XM6 Zwart,Sony,41900,True,https://www.coolblue.nl/product/962722/sony-wh-1000xm6-zwart.html,ok
2026-01-09,2026-01-09T17:52:13,968665,Sony WH-1000XM5SA SoftCase Zwart,Sony,22900,True,https://www.coolblue.nl/product/968665/sony-wh-1000xm5sa-softcase-zwart.html,ok
2026-01-09,2026-01-09T17:52:19,859866,Sony WH-1000XM4 Zwart,Sony,22900,True,https://www.coolblue.nl/product/859866/sony-wh-1000xm4-zwart.html,ok
2026-01-09,2026-01-09T17:52:24,954352,Apple AirPods Max Zwart,Apple,57900,True,https://www.coolblue.nl/product/954352/apple-airpods-max-zwart.html,ok
2026-01-09,2026-01-09T17:52:28,968677,Bose QuietComfort Ultra Headphones (2e gen) Zwart,Bose,45000,True,https://www.coolblue.nl/product/968677/bose-quietcomfort-ultra-headphones-2e-gen-zwart.html,ok
2026-01-09,2026-01-09T17:52:33,936046,Bose QuietComfort Ultra Headphones Wit,Bose,29900,True,https://www.coolblue.nl/product/936046/bose-quietcomfort-ultra-headphones-wit.html,ok
2026-01-09,2026-01-09T17:52:37,960367,JBL Tour One M3 Smart TX Zwart,JBL,26900,True,https://www.coolblue.nl/product/960367/jbl-tour-one-m3-smart-tx-zwart.html,ok
2026-01-09,2026-01-09T17:52:44,936048,Bose QuietComfort Headphones Zwart,Bose,22000,True,https://www.coolblue.nl/product/936048/bose-quietcomfort-headphones-zwart.html,ok
2026-01-09,2026-01-09T17:52:51,948054,Sonos Ace Zwart,Sonos,39900,True,https://www.coolblue.nl/product/948054/sonos-ace-zwart.html,ok
2026-01-09,2026-01-09T17:52:55,962724,Sony WH-1000XM6 Blauw,Sony,37600,True,https://www.coolblue.nl/product/962724/sony-wh-1000xm6-blauw.html,ok
2026-01-09,2026-01-09T17:53:00,795783,Pioneer DJ HDJ-X5 Zwart,Pioneer,9700,True,https://www.coolblue.nl/product/795783/pioneer-dj-hdj-x5-zwart.html,ok
2026-01-09,2026-01-09T17:53:05,949833,Bose QuietComfort Headphones SC,Bose,28900,True,https://www.coolblue.nl/product/949833/bose-quietcomfort-headphones-sc.html,ok
2026-01-09,2026-01-09T17:53:10,923501,Sony WH-CH720N Zwart,Sony,8800,True,https://www.coolblue.nl/product/923501/sony-wh-ch720n-zwart.html,ok
2026-01-09,2026-01-09T17:53:15,968680,Bose QuietComfort Ultra Headphones (2e gen) Creme,Bose,45000,True,https://www.coolblue.nl/product/968680/bose-quietcomfort-ultra-headphones-2e-gen-creme.html,ok
2026-01-09,2026-01-09T17:53:19,969274,Bowers & Wilkins PX8 S2 Zwart,Bowers & Wilkins,72900,True,https://www.coolblue.nl/product/969274/bowers-wilkins-px8-s2-zwart.html,ok
2026-01-09,2026-01-09T17:53:24,917585,Bowers & Wilkins Px8 Zwart,Bowers & Wilkins,43900,True,https://www.coolblue.nl/product/917585/bowers-wilkins-px8-zwart.html,ok
2026-01-09,2026-01-09T17:53:28,884823,Sony WH-1000XM4 Blauw,Sony,21900,True,https://www.coolblue.nl/product/884823/sony-wh-1000xm4-blauw.html,ok
2026-01-09,2026-01-09T17:53:34,954349,Apple AirPods Max Goud,Apple,56100,True,https://www.coolblue.nl/product/954349/apple-airpods-max-goud.html,ok
2026-01-09,2026-01-09T17:53:40,859867,Sony WH-1000XM4 Zilver,Sony,22200,True,https://www.coolblue.nl/product/859867/sony-wh-1000xm4-zilver.html,ok
2026-01-09,2026-01-09T17:53:45,930309,JBL Tune 770NC Zwart,JBL,8600,True,https://www.coolblue.nl/product/930309/jbl-tune-770nc-zwart.html,ok
2026-01-09,2026-01-09T17:53:50,968679,Bose QuietComfort Ultra Headphones (2e gen) Goud,Bose,45000,True,https://www.coolblue.nl/product/968679/bose-quietcomfort-ultra-headphones-2e-gen-goud.html,ok
2026-01-09,2026-01-09T17:53:54,962725,Sony WH-1000XM6 Zilver,Sony,39200,True,https://www.coolblue.nl/product/962725/sony-wh-1000xm6-zilver.html,ok
2026-01-09,2026-01-09T17:53:59,953660,Bose QuietComfort Headphones Blauw,Bose,22000,True,https://www.coolblue.nl/product/953660/bose-quietcomfort-headphones-blauw.html,ok
2026-01-09,2026-01-09T17:54:04,963644,Bowers & Wilkins Px7 S3 Zwart,Bowers & Wilkins,35900,True,https://www.coolblue.nl/product/963644/bowers-wilkins-px7-s3-zwart.html,ok
2026-01-09,2026-01-09T17:54:08,946493,Sony ULT Wear Zwart,Sony,14100,True,https://www.coolblue.nl/product/946493/sony-ult-wear-zwart.html,ok
2026-01-09,2026-01-09T17:54:13,959896,JBL Tour One M3 Zwart,JBL,24900,True,https://www.coolblue.nl/product/959896/jbl-tour-one-m3-zwart.html,ok
2026-01-09,2026-01-09T17:54:16,954351,Apple AirPods Max Blauw,Apple,57900,True,https://www.coolblue.nl/product/954351/apple-airpods-max-blauw.html,ok
2026-01-09,2026-01-09T17:54:21,905648,Sony WH-1000XM5 Zwart,Sony,26900,True,https://www.coolblue.nl/product/905648/sony-wh-1000xm5-zwart.html,ok
